locus_tag	ftype	length_bp	gene	EC_number	COG	product
AIILHNKI_00391	CDS	414		3.1.2.-	COG2050	Putative esterase
AIILHNKI_00392	CDS	522				hypothetical protein
AIILHNKI_00393	CDS	522	menF	5.4.4.2	COG1169	Isochorismate synthase MenF
AIILHNKI_00394	CDS	1692	menD	2.2.1.9	COG1165	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
AIILHNKI_00395	CDS	195	menB_1	4.1.3.36		1,4-dihydroxy-2-naphthoyl-CoA synthase
AIILHNKI_00396	CDS	660	menB_2	4.1.3.36	COG0447	1,4-dihydroxy-2-naphthoyl-CoA synthase
AIILHNKI_00397	CDS	990	menC	4.2.1.113		o-succinylbenzoate synthase
AIILHNKI_00398	CDS	996	lgrB			Linear gramicidin synthase subunit B
AIILHNKI_00399	CDS	1050	aroB	4.2.3.4		3-dehydroquinate synthase
AIILHNKI_00400	CDS	2961				hypothetical protein
AIILHNKI_00401	CDS	762	murU	2.7.7.99	COG1208	N-acetylmuramate alpha-1-phosphate uridylyltransferase
AIILHNKI_00402	CDS	1605	guaA	6.3.5.2		GMP synthase [glutamine-hydrolyzing]
AIILHNKI_00403	CDS	3219				TonB-dependent receptor P39
AIILHNKI_00404	CDS	1761				hypothetical protein
AIILHNKI_00405	CDS	399	mscL		COG1970	Large-conductance mechanosensitive channel
AIILHNKI_00406	CDS	1026	gap	1.2.1.12		Glyceraldehyde-3-phosphate dehydrogenase
AIILHNKI_00407	CDS	1056				hypothetical protein
AIILHNKI_00408	CDS	345				hypothetical protein
AIILHNKI_00409	CDS	147				hypothetical protein
AIILHNKI_00410	CDS	312				hypothetical protein
AIILHNKI_00411	CDS	573	resA_1			Thiol-disulfide oxidoreductase ResA
AIILHNKI_00412	CDS	405	paaI	3.1.2.-	COG2050	Acyl-coenzyme A thioesterase PaaI
AIILHNKI_00413	CDS	1644				hypothetical protein
AIILHNKI_00414	CDS	219				hypothetical protein
AIILHNKI_00415	CDS	1428	mggB	3.1.3.-	COG0737	Mannosylglucosyl-3-phosphoglycerate phosphatase
AIILHNKI_00416	CDS	741				hypothetical protein
AIILHNKI_00417	CDS	624				hypothetical protein
AIILHNKI_00418	CDS	1020	ftsH_2	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
AIILHNKI_00419	CDS	936	miaA_1	2.5.1.75	COG0324	tRNA dimethylallyltransferase
AIILHNKI_00420	CDS	936	ytlR	2.7.1.-	COG1597	Putative lipid kinase YtlR
AIILHNKI_00421	CDS	1920				hypothetical protein
AIILHNKI_00422	CDS	1269		2.4.1.11	COG0438	Glycogen synthase
AIILHNKI_00423	CDS	1413				hypothetical protein
AIILHNKI_00424	CDS	1059				hypothetical protein
AIILHNKI_00425	CDS	750	exoA	3.1.11.2	COG0708	Exodeoxyribonuclease
AIILHNKI_00426	CDS	627				hypothetical protein
AIILHNKI_00427	CDS	1701	dauA		COG0659	C4-dicarboxylic acid transporter DauA
AIILHNKI_00428	CDS	648		3.-.-.-		putative protein
AIILHNKI_00429	CDS	627	rsmG	2.1.1.170		Ribosomal RNA small subunit methyltransferase G
AIILHNKI_00430	CDS	516				hypothetical protein
AIILHNKI_00431	CDS	297				hypothetical protein
AIILHNKI_00432	CDS	1176				hypothetical protein
AIILHNKI_00433	CDS	2640	rexB	3.6.4.12		ATP-dependent helicase/deoxyribonuclease subunit B
AIILHNKI_00434	CDS	423				hypothetical protein
AIILHNKI_00435	CDS	1158	recB	3.1.11.5		RecBCD enzyme subunit RecB
AIILHNKI_00436	CDS	1428	addA	3.1.-.-	COG1074	ATP-dependent helicase/nuclease subunit A
AIILHNKI_00437	CDS	2034				hypothetical protein
AIILHNKI_00438	CDS	2796	uvrA_1			UvrABC system protein A
AIILHNKI_00439	CDS	1440	uxaB	1.1.1.58	COG0246	Altronate oxidoreductase
AIILHNKI_00440	CDS	594	rcsB			Transcriptional regulatory protein RcsB
AIILHNKI_00441	CDS	438	oadB	7.2.4.2	COG1883	Oxaloacetate decarboxylase beta chain
AIILHNKI_00442	CDS	744	gcdB	7.2.4.5	COG1883	Glutaconyl-CoA decarboxylase subunit beta
AIILHNKI_00443	CDS	453				hypothetical protein
AIILHNKI_00444	CDS	1026				hypothetical protein
AIILHNKI_00445	CDS	882	yidE			Putative transport protein YidE
AIILHNKI_00446	CDS	750	hmuU_1		COG0609	Hemin transport system permease protein HmuU
AIILHNKI_00447	CDS	1107				hypothetical protein
AIILHNKI_00448	CDS	801	cobS_1	2.7.8.26		Adenosylcobinamide-GDP ribazoletransferase
AIILHNKI_00449	CDS	510	cobP_1	2.7.1.156		Bifunctional adenosylcobalamin biosynthesis protein CobP
AIILHNKI_00450	CDS	1047	cobT_1	2.4.2.21		Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
AIILHNKI_00451	CDS	126				hypothetical protein
AIILHNKI_00452	CDS	1404	susC_1			TonB-dependent receptor SusC
AIILHNKI_00453	CDS	882				TonB-dependent receptor P3
AIILHNKI_00454	CDS	354				TonB-dependent receptor P39
AIILHNKI_00455	CDS	249				hypothetical protein
AIILHNKI_00456	CDS	738				hypothetical protein
AIILHNKI_00457	CDS	492				hypothetical protein
AIILHNKI_00458	CDS	1098				hypothetical protein
AIILHNKI_00459	CDS	1746				hypothetical protein
AIILHNKI_00460	CDS	1179				hypothetical protein
AIILHNKI_00461	CDS	1263				hypothetical protein
AIILHNKI_00462	CDS	1950				hypothetical protein
AIILHNKI_00463	CDS	849				TonB-dependent receptor P3
AIILHNKI_00464	CDS	2292				TonB-dependent receptor P39
AIILHNKI_00465	CDS	3855	rcsC_3	2.7.13.3		Sensor histidine kinase RcsC
AIILHNKI_00466	CDS	603				putative protein
AIILHNKI_00467	CDS	1053				hypothetical protein
AIILHNKI_00468	CDS	429				hypothetical protein
AIILHNKI_00469	CDS	717	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
AIILHNKI_00470	CDS	852	panB	2.1.2.11	COG0413	3-methyl-2-oxobutanoate hydroxymethyltransferase
AIILHNKI_00471	CDS	846	panC	6.3.2.1	COG0414	Pantothenate synthetase
AIILHNKI_00472	CDS	390	panD	4.1.1.11	COG0853	Aspartate 1-decarboxylase
AIILHNKI_00473	CDS	1191	undec1A	4.1.1.-		Cysteine/Cysteine sulfinic acid decarboxylase
AIILHNKI_00474	CDS	708	coaX	2.7.1.33	COG1521	Type III pantothenate kinase
AIILHNKI_00475	CDS	375	blaI		COG3682	Penicillinase repressor
AIILHNKI_00476	CDS	1362				hypothetical protein
AIILHNKI_00477	CDS	1746				hypothetical protein
AIILHNKI_00478	CDS	1872				hypothetical protein
AIILHNKI_00479	CDS	1680				SusD-like protein P25
AIILHNKI_00480	CDS	2835				hypothetical protein
AIILHNKI_00481	CDS	2022				hypothetical protein
AIILHNKI_00482	CDS	2979				TonB-dependent receptor P39
AIILHNKI_00483	CDS	246				hypothetical protein
AIILHNKI_00484	CDS	1620	susC_2			TonB-dependent receptor SusC
AIILHNKI_00485	CDS	801	cobS_2	2.7.8.26		Adenosylcobinamide-GDP ribazoletransferase
AIILHNKI_00486	CDS	285	cobP_2	2.7.1.156		Bifunctional adenosylcobalamin biosynthesis protein CobP
AIILHNKI_00487	CDS	1047	cobT_2	2.4.2.21		Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
AIILHNKI_00488	CDS	2952	tri1_2	3.4.21.-	COG0793	Tricorn protease 
AIILHNKI_00489	CDS	261				hypothetical protein
AIILHNKI_00490	CDS	747		5.2.1.8		Putative peptidyl-prolyl cis-trans isomerase
AIILHNKI_00491	CDS	405				hypothetical protein
AIILHNKI_00492	CDS	1107	mftC_1	2.-.-.-	COG0535	Putative mycofactocin radical SAM maturase MftC
AIILHNKI_00493	CDS	318				hypothetical protein
AIILHNKI_00494	CDS	1179				hypothetical protein
AIILHNKI_00495	CDS	1506				hypothetical protein
AIILHNKI_00496	CDS	2166	btuB_1			Vitamin B12 transporter BtuB
AIILHNKI_00497	CDS	321				hypothetical protein
AIILHNKI_00498	CDS	1872	susC_3			TonB-dependent receptor SusC
AIILHNKI_00499	CDS	3294				TonB-dependent receptor P3
AIILHNKI_00500	CDS	534				hypothetical protein
AIILHNKI_00501	CDS	1560				hypothetical protein
AIILHNKI_00502	CDS	330				hypothetical protein
AIILHNKI_00503	CDS	1074				hypothetical protein
AIILHNKI_00504	CDS	2280				hypothetical protein
AIILHNKI_00505	CDS	1065				hypothetical protein
AIILHNKI_00506	CDS	2727				hypothetical protein
AIILHNKI_00507	CDS	300				hypothetical protein
AIILHNKI_00508	CDS	648	cgt	2.4.1.19		Cyclomaltodextrin glucanotransferase
AIILHNKI_00509	CDS	615	glgB_2	2.4.1.18		1,4-alpha-glucan branching enzyme GlgB
AIILHNKI_00510	CDS	369				hypothetical protein
AIILHNKI_00511	CDS	1998	rcsC_4	2.7.13.3		Sensor histidine kinase RcsC
AIILHNKI_00512	CDS	1443				hypothetical protein
AIILHNKI_00513	CDS	636				hypothetical protein
AIILHNKI_00514	CDS	1056				hypothetical protein
AIILHNKI_00515	CDS	1917	susC_4			TonB-dependent receptor SusC
AIILHNKI_00516	CDS	1131				TonB-dependent receptor P3
AIILHNKI_00517	CDS	414				hypothetical protein
AIILHNKI_00518	CDS	1176				SusD-like protein P2
AIILHNKI_00519	CDS	915				hypothetical protein
AIILHNKI_00520	CDS	1053	axe1-6A_1		COG2382	Carbohydrate acetyl esterase/feruloyl esterase
AIILHNKI_00521	CDS	1023	nagZ	3.2.1.52		Beta-hexosaminidase
AIILHNKI_00522	CDS	1287				hypothetical protein
AIILHNKI_00523	CDS	2496				hypothetical protein
AIILHNKI_00524	CDS	465				hypothetical protein
AIILHNKI_00525	CDS	1998				hypothetical protein
AIILHNKI_00526	CDS	459	ycgM		COG0179	putative protein YcgM
AIILHNKI_00527	CDS	171				hypothetical protein
AIILHNKI_00528	CDS	2958				hypothetical protein
AIILHNKI_00529	CDS	237				hypothetical protein
AIILHNKI_00530	CDS	1176				hypothetical protein
AIILHNKI_00531	CDS	480	ispF	4.6.1.12	COG0245	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
AIILHNKI_00532	CDS	1275	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
AIILHNKI_00533	CDS	579	dapH_1	2.3.1.89		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
AIILHNKI_00534	CDS	804		2.4.1.-		PGL/p-HBAD biosynthesis glycosyltransferase
AIILHNKI_00535	CDS	360				hypothetical protein
AIILHNKI_00536	CDS	1440	amyP	3.2.1.60		Glucan 1,4-alpha-maltotetraohydrolase
AIILHNKI_00537	CDS	1107	ganB_1	3.2.1.89	COG3867	Arabinogalactan endo-beta-1,4-galactanase
AIILHNKI_00538	CDS	1494				hypothetical protein
AIILHNKI_00539	CDS	1182	susE_1			Outer membrane protein SusE
AIILHNKI_00540	CDS	1587	susD_1			Starch-binding protein SusD
AIILHNKI_00541	CDS	237	susC_5			TonB-dependent receptor SusC
AIILHNKI_00542	CDS	864				hypothetical protein
AIILHNKI_00543	CDS	609				hypothetical protein
AIILHNKI_00544	CDS	255				hypothetical protein
AIILHNKI_00545	CDS	474				hypothetical protein
AIILHNKI_00546	CDS	222				hypothetical protein
AIILHNKI_00547	CDS	153				hypothetical protein
AIILHNKI_00548	CDS	303				hypothetical protein
AIILHNKI_00549	CDS	804				hypothetical protein
AIILHNKI_00550	CDS	813				hypothetical protein
AIILHNKI_00551	CDS	792	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
AIILHNKI_00552	CDS	105				hypothetical protein
AIILHNKI_00553	CDS	1002				hypothetical protein
AIILHNKI_00554	CDS	1458	pepD_1	3.4.13.18	COG2195	Cytosol non-specific dipeptidase
AIILHNKI_00555	CDS	927				hypothetical protein
AIILHNKI_00556	CDS	144				hypothetical protein
AIILHNKI_00557	CDS	1716				hypothetical protein
AIILHNKI_00558	CDS	477	guaD	3.5.4.3	COG0590	Guanine deaminase
AIILHNKI_00559	tRNA	84				tRNA-Tyr(gta)
AIILHNKI_00560	CDS	381	secG		COG1314	Protein-export membrane protein SecG
AIILHNKI_00561	CDS	777				hypothetical protein
AIILHNKI_00562	CDS	519				hypothetical protein
AIILHNKI_00563	CDS	1251	norR			Anaerobic nitric oxide reductase transcription regulator NorR
AIILHNKI_00564	CDS	1005				hypothetical protein
AIILHNKI_00565	CDS	1035	pdxA	1.1.1.262	COG1995	4-hydroxythreonine-4-phosphate dehydrogenase
AIILHNKI_00566	CDS	1041	rlmN	2.1.1.192	COG0820	Dual-specificity RNA methyltransferase RlmN
AIILHNKI_00567	CDS	2397	arnC_1	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
AIILHNKI_00568	CDS	1149			COG2385	putative protein
AIILHNKI_00569	CDS	1269	ampG_1		COG0477	Anhydromuropeptide permease
AIILHNKI_00570	CDS	987	lpxD_1	2.3.1.191		UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
AIILHNKI_00571	CDS	669				hypothetical protein
AIILHNKI_00572	CDS	144				hypothetical protein
AIILHNKI_00573	CDS	192				hypothetical protein
AIILHNKI_00574	CDS	138				hypothetical protein
AIILHNKI_00575	CDS	444				hypothetical protein
AIILHNKI_00576	CDS	120				hypothetical protein
AIILHNKI_00577	CDS	114				hypothetical protein
AIILHNKI_00578	CDS	285				hypothetical protein
AIILHNKI_00579	CDS	255				hypothetical protein
AIILHNKI_00580	CDS	1275				hypothetical protein
AIILHNKI_00581	CDS	411				hypothetical protein
AIILHNKI_00582	CDS	213	puuR			HTH-type transcriptional regulator PuuR
AIILHNKI_00583	CDS	759				hypothetical protein
AIILHNKI_00584	CDS	1323				hypothetical protein
AIILHNKI_00585	CDS	258				hypothetical protein
AIILHNKI_00586	CDS	420				hypothetical protein
AIILHNKI_00587	CDS	1671	glgA_1	2.4.1.21		Glycogen synthase
AIILHNKI_00588	CDS	2316	glgP	2.4.1.1	COG0058	Glycogen phosphorylase
AIILHNKI_00589	CDS	273				hypothetical protein
AIILHNKI_00590	CDS	573				hypothetical protein
AIILHNKI_00591	CDS	939	prs_1	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
AIILHNKI_00592	CDS	639	thiE_1	2.5.1.3		Thiamine-phosphate synthase
AIILHNKI_00593	CDS	891	fabD	2.3.1.39		Malonyl CoA-acyl carrier protein transacylase
AIILHNKI_00594	CDS	1659	glgE	2.4.99.16		Alpha-1,4-glucan:maltose-1-phosphate maltosyltransferase
AIILHNKI_00595	CDS	666				hypothetical protein
AIILHNKI_00596	CDS	468				hypothetical protein
AIILHNKI_00597	CDS	513				hypothetical protein
AIILHNKI_00598	CDS	555				hypothetical protein
AIILHNKI_00599	CDS	1254	luxQ_1	2.7.13.3		Autoinducer 2 sensor kinase/phosphatase LuxQ
AIILHNKI_00600	CDS	498				hypothetical protein
AIILHNKI_00601	CDS	678		2.4.1.336	COG1215	Beta-monoglucosyldiacylglycerol synthase
AIILHNKI_00602	CDS	1575	rng	3.1.26.-	COG1530	Ribonuclease G
AIILHNKI_00603	CDS	90				hypothetical protein
AIILHNKI_00604	CDS	276			COG0776	DNA-binding protein HU
AIILHNKI_00605	CDS	1446	pyk	2.7.1.40	COG0469	Pyruvate kinase
AIILHNKI_00606	CDS	2064	dcp	3.4.15.5	COG0339	Dipeptidyl carboxypeptidase
AIILHNKI_00607	CDS	702				hypothetical protein
AIILHNKI_00608	CDS	201	ybhL		COG0670	Inner membrane protein YbhL
AIILHNKI_00609	rRNA	1527				16S ribosomal RNA
AIILHNKI_00610	tRNA	75				tRNA-Ile(gat)
AIILHNKI_00611	tRNA	75				tRNA-Ala(tgc)
AIILHNKI_00612	rRNA	2888				23S ribosomal RNA
AIILHNKI_00613	rRNA	109				5S ribosomal RNA
AIILHNKI_00614	CDS	813	aes	3.1.1.-		Acetyl esterase
AIILHNKI_00615	CDS	627				hypothetical protein
AIILHNKI_00616	tRNA	75				tRNA-Thr(tgt)
AIILHNKI_00617	CDS	543				hypothetical protein
AIILHNKI_00618	CDS	957	rgtE	2.4.1.-	COG0463	Dodecaprenyl-phosphate galacturonate synthase
AIILHNKI_00619	CDS	513				hypothetical protein
AIILHNKI_00620	CDS	690				hypothetical protein
AIILHNKI_00621	CDS	159				hypothetical protein
AIILHNKI_00622	CDS	858	apbE	2.7.1.180	COG1477	FAD:protein FMN transferase
AIILHNKI_00623	CDS	678				hypothetical protein
AIILHNKI_00624	CDS	2115	prlC	3.4.24.70	COG0339	Oligopeptidase A
AIILHNKI_00625	CDS	438	tadA	3.5.4.33		tRNA-specific adenosine deaminase
AIILHNKI_00626	CDS	1701				hypothetical protein
AIILHNKI_00627	tRNA	85				tRNA-Pro(ggg)
AIILHNKI_00628	CDS	291				hypothetical protein
AIILHNKI_00629	CDS	1101	recF		COG1195	DNA replication and repair protein RecF
AIILHNKI_00630	CDS	105				hypothetical protein
AIILHNKI_00631	CDS	684	cpoB			Cell division coordinator CpoB
AIILHNKI_00632	CDS	471	ribH	2.5.1.78		6,7-dimethyl-8-ribityllumazine synthase
AIILHNKI_00633	CDS	1503	sasA_5	2.7.-.-		Adaptive-response sensory-kinase SasA
AIILHNKI_00634	CDS	948				hypothetical protein
AIILHNKI_00635	CDS	1143	rutC	1.-.-.-		Putative aminoacrylate peracid reductase RutC
AIILHNKI_00636	CDS	1752				hypothetical protein
AIILHNKI_00637	CDS	174				hypothetical protein
AIILHNKI_00638	CDS	1158	pal_1			Peptidoglycan-associated lipoprotein
AIILHNKI_00639	CDS	1602				hypothetical protein
AIILHNKI_00640	CDS	699				hypothetical protein
AIILHNKI_00641	CDS	222				hypothetical protein
AIILHNKI_00642	CDS	582				hypothetical protein
AIILHNKI_00643	CDS	327				hypothetical protein
AIILHNKI_00644	CDS	261				hypothetical protein
AIILHNKI_00645	CDS	1389	amyB	3.2.1.1		Alpha-amylase 2
AIILHNKI_00646	CDS	1098				hypothetical protein
AIILHNKI_00647	CDS	1815	susD_2			Starch-binding protein SusD
AIILHNKI_00648	CDS	177				hypothetical protein
AIILHNKI_00649	CDS	1014	pccB_1	6.4.1.3	COG4799	Propionyl-CoA carboxylase beta chain
AIILHNKI_00650	CDS	456	epi_1	5.1.99.-	COG0346	Ethylmalonyl-CoA/methylmalonyl-CoA epimerase
AIILHNKI_00651	CDS	1032				hypothetical protein
AIILHNKI_00652	CDS	771				hypothetical protein
AIILHNKI_00653	CDS	510				hypothetical protein
AIILHNKI_00654	CDS	1161				hypothetical protein
AIILHNKI_00655	CDS	945				hypothetical protein
AIILHNKI_00656	CDS	675	speB	3.4.22.10		Streptopain
AIILHNKI_00657	CDS	1704				hypothetical protein
AIILHNKI_00658	CDS	450				hypothetical protein
AIILHNKI_00659	CDS	945	qmcA		COG0330	Protein QmcA
AIILHNKI_00660	CDS	888	dapA	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
AIILHNKI_00661	CDS	885	rhaS_1			HTH-type transcriptional activator RhaS
AIILHNKI_00662	tRNA	75				tRNA-Arg(acg)
AIILHNKI_00663	tRNA	77				tRNA-Arg(acg)
AIILHNKI_00664	CDS	705	sigA_2			RNA polymerase sigma factor SigA
AIILHNKI_00665	CDS	969				hypothetical protein
AIILHNKI_00666	CDS	1059				hypothetical protein
AIILHNKI_00667	CDS	261				hypothetical protein
AIILHNKI_00668	CDS	972				hypothetical protein
AIILHNKI_00669	CDS	372				hypothetical protein
AIILHNKI_00670	CDS	336				hypothetical protein
AIILHNKI_00671	CDS	2055	htpG			Chaperone protein HtpG
AIILHNKI_00672	CDS	1779	rpsA		COG0539	30S ribosomal protein S1
AIILHNKI_00673	CDS	1338	gdhA	1.4.1.3		NAD(P)-specific glutamate dehydrogenase
AIILHNKI_00674	CDS	663	maeB	1.1.1.40	COG0280	NADP-dependent malic enzyme
AIILHNKI_00675	CDS	1284				hypothetical protein
AIILHNKI_00676	CDS	1023	recA			Protein RecA
AIILHNKI_00677	CDS	1239		1.5.1.43		Carboxynorspermidine synthase
AIILHNKI_00678	CDS	645				hypothetical protein
AIILHNKI_00679	CDS	1332	nhaD_1		COG1055	Na(+)/H(+) antiporter NhaD
AIILHNKI_00680	CDS	2742	rcsC_5	2.7.13.3		Sensor histidine kinase RcsC
AIILHNKI_00681	CDS	2778	rcsC_6	2.7.13.3		Sensor histidine kinase RcsC
AIILHNKI_00682	CDS	1863	rcsC_7	2.7.13.3		Sensor histidine kinase RcsC
AIILHNKI_00683	CDS	2037	rcsC_8	2.7.13.3		Sensor histidine kinase RcsC
AIILHNKI_00684	CDS	561	frr		COG0233	Ribosome-recycling factor
AIILHNKI_00685	CDS	930	rsgA	3.6.1.-	COG1162	Small ribosomal subunit biogenesis GTPase RsgA
AIILHNKI_00686	CDS	2445	tolB_1			Tol-Pal system protein TolB
AIILHNKI_00687	CDS	387	mnmA_1	2.8.1.13	COG0482	tRNA-specific 2-thiouridylase MnmA
AIILHNKI_00688	CDS	741	mnmA_2	2.8.1.13		tRNA-specific 2-thiouridylase MnmA
AIILHNKI_00689	CDS	1002				hypothetical protein
AIILHNKI_00690	CDS	192				hypothetical protein
AIILHNKI_00691	CDS	1200				hypothetical protein
AIILHNKI_00692	CDS	1350		3.2.1.131	COG3661	Extracellular xylan exo-alpha-(1->2)-glucuronosidase
AIILHNKI_00693	CDS	489		3.2.1.131	COG3661	Extracellular xylan exo-alpha-(1->2)-glucuronosidase
AIILHNKI_00694	CDS	2364				hypothetical protein
AIILHNKI_00695	CDS	2157				hypothetical protein
AIILHNKI_00696	CDS	228				hypothetical protein
AIILHNKI_00697	CDS	243				hypothetical protein
AIILHNKI_00698	CDS	270				hypothetical protein
AIILHNKI_00699	CDS	498				hypothetical protein
AIILHNKI_00700	CDS	216				hypothetical protein
AIILHNKI_00701	CDS	147				hypothetical protein
AIILHNKI_00702	CDS	336				hypothetical protein
AIILHNKI_00703	CDS	1131				hypothetical protein
AIILHNKI_00704	CDS	381				hypothetical protein
AIILHNKI_00705	CDS	2046		3.2.1.23	COG3250	Beta-galactosidase BoGH2A
AIILHNKI_00706	CDS	561	pdxT	4.3.3.6	COG0311	Pyridoxal 5'-phosphate synthase subunit PdxT
AIILHNKI_00707	CDS	876	pdxS	4.3.3.6	COG0214	Pyridoxal 5'-phosphate synthase subunit PdxS
AIILHNKI_00708	CDS	915	rhaS_2			HTH-type transcriptional activator RhaS
AIILHNKI_00709	CDS	2295				hypothetical protein
AIILHNKI_00710	CDS	657				hypothetical protein
AIILHNKI_00711	CDS	999	cytR_1		COG1609	HTH-type transcriptional repressor CytR
AIILHNKI_00712	CDS	2070				hypothetical protein
AIILHNKI_00713	CDS	1506	scpC	2.8.3.-	COG0427	Propionyl-CoA:succinate CoA transferase
AIILHNKI_00714	CDS	648				hypothetical protein
AIILHNKI_00715	CDS	1461				hypothetical protein
AIILHNKI_00716	CDS	234				hypothetical protein
AIILHNKI_00717	CDS	282				hypothetical protein
AIILHNKI_00718	tRNA	85				tRNA-Leu(caa)
AIILHNKI_00719	CDS	1155	rfbM	2.7.7.13	COG0662	Mannose-1-phosphate guanylyltransferase RfbM
AIILHNKI_00720	CDS	393			COG0537	putative HIT-like protein
AIILHNKI_00721	CDS	468	greA_1		COG0782	Transcription elongation factor GreA
AIILHNKI_00722	CDS	957				hypothetical protein
AIILHNKI_00723	CDS	996	auaH	1.1.1.394		Aurachin B dehydrogenase
AIILHNKI_00724	CDS	2142	rnr	3.1.13.1	COG0557	Ribonuclease R
AIILHNKI_00725	CDS	1653	sasA_6	2.7.-.-		Adaptive-response sensory-kinase SasA
AIILHNKI_00726	CDS	2679				hypothetical protein
AIILHNKI_00727	CDS	2004	susB_1	3.2.1.3		Glucan 1,4-alpha-glucosidase SusB
AIILHNKI_00728	CDS	411				hypothetical protein
AIILHNKI_00729	CDS	1425	pulA	3.2.1.41	COG1523	Pullulanase
AIILHNKI_00730	CDS	945				hypothetical protein
AIILHNKI_00731	CDS	1185	cesA			Multidomain esterase
AIILHNKI_00732	CDS	1929				hypothetical protein
AIILHNKI_00733	CDS	2148		3.2.1.177	COG1501	Alpha-xylosidase BoGH31A
AIILHNKI_00734	CDS	2763				hypothetical protein
AIILHNKI_00735	CDS	1449				hypothetical protein
AIILHNKI_00736	CDS	1224				hypothetical protein
AIILHNKI_00737	CDS	1485				hypothetical protein
AIILHNKI_00738	CDS	1659				hypothetical protein
AIILHNKI_00739	CDS	2124				hypothetical protein
AIILHNKI_00740	CDS	1035				hypothetical protein
AIILHNKI_00741	CDS	972				hypothetical protein
AIILHNKI_00742	CDS	717				hypothetical protein
AIILHNKI_00743	CDS	2802				TonB-dependent receptor P26
AIILHNKI_00744	CDS	1899				hypothetical protein
AIILHNKI_00745	CDS	3135				TonB-dependent receptor P26
AIILHNKI_00746	CDS	2472				hypothetical protein
AIILHNKI_00747	CDS	930				hypothetical protein
AIILHNKI_00748	CDS	3027	rcsC_9	2.7.13.3		Sensor histidine kinase RcsC
AIILHNKI_00749	CDS	1293	potD		COG0687	Spermidine/putrescine-binding periplasmic protein
AIILHNKI_00750	CDS	441	xyl3A_1	3.2.1.37	COG1472	Xylan 1,4-beta-xylosidase
AIILHNKI_00751	CDS	2121	xyl3A_2	3.2.1.37	COG1472	Xylan 1,4-beta-xylosidase
AIILHNKI_00752	CDS	2466				hypothetical protein
AIILHNKI_00753	CDS	2181			COG2382	Endo-1,4-beta-xylanase/feruloyl esterase
AIILHNKI_00754	CDS	534				hypothetical protein
AIILHNKI_00755	CDS	1314				hypothetical protein
AIILHNKI_00756	CDS	420				hypothetical protein
AIILHNKI_00757	CDS	264				hypothetical protein
AIILHNKI_00758	CDS	189				hypothetical protein
AIILHNKI_00759	CDS	615	resA_2			Thiol-disulfide oxidoreductase ResA
AIILHNKI_00760	CDS	333				hypothetical protein
AIILHNKI_00761	CDS	1242				hypothetical protein
AIILHNKI_00762	CDS	387	mecI			Methicillin resistance regulatory protein MecI
AIILHNKI_00763	CDS	1173				hypothetical protein
AIILHNKI_00764	CDS	522				hypothetical protein
AIILHNKI_00765	CDS	804				hypothetical protein
AIILHNKI_00766	CDS	747				hypothetical protein
AIILHNKI_00767	CDS	156				hypothetical protein
AIILHNKI_00768	CDS	1125				hypothetical protein
AIILHNKI_00769	CDS	414				hypothetical protein
AIILHNKI_00770	CDS	1125				hypothetical protein
AIILHNKI_00771	CDS	4005	rcsC_10	2.7.13.3		Sensor histidine kinase RcsC
AIILHNKI_00772	CDS	1140				hypothetical protein
AIILHNKI_00773	CDS	1125				hypothetical protein
AIILHNKI_00774	CDS	1638				SusD-like protein P2
AIILHNKI_00775	CDS	2412				TonB-dependent receptor P3
AIILHNKI_00776	CDS	651	susC_6			TonB-dependent receptor SusC
AIILHNKI_00777	CDS	2070				hypothetical protein
AIILHNKI_00778	CDS	1458				hypothetical protein
AIILHNKI_00779	CDS	1584				SusD-like protein P2
AIILHNKI_00780	CDS	3177				TonB-dependent receptor P3
AIILHNKI_00781	CDS	2016	axe1-6A_2		COG2382	Carbohydrate acetyl esterase/feruloyl esterase
AIILHNKI_00782	CDS	2178				hypothetical protein
AIILHNKI_00783	CDS	2238				hypothetical protein
AIILHNKI_00784	CDS	264	susC_7			TonB-dependent receptor SusC
AIILHNKI_00785	CDS	1998				TonB-dependent receptor P39
AIILHNKI_00786	CDS	381				hypothetical protein
AIILHNKI_00787	CDS	252				TonB-dependent receptor P3
AIILHNKI_00788	CDS	1755				SusD-like protein
AIILHNKI_00789	CDS	438				hypothetical protein
AIILHNKI_00790	CDS	1230				hypothetical protein
AIILHNKI_00791	CDS	909				hypothetical protein
